X	Y	Z
0.12	0.18	1.02
0.09	0.18	0.96
0.07	0.20	0.97
0.03	0.21	0.96
0.01	0.18	1.00
0.04	0.19	0.99
0.01	0.20	0.83
-0.05	0.17	0.50
-0.03	0.07	0.19
0.02	-0.27	0.75
0.44	-0.67	3.93
-0.22	-1.42	5.10
-0.78	-2.70	0.72
-0.14	-2.41	-4.27
-0.50	-1.41	-3.12
-1.23	-0.71	4.18
-0.31	0.62	3.42
-0.04	0.27	1.14
0.02	-0.01	0.62
0.06	0.09	0.66
0.04	0.20	1.06
-0.07	0.20	1.23
0.03	0.23	1.02
0.03	0.30	0.96
0.02	0.57	0.61
0.03	0.76	0.55
0.05	0.84	0.53
-0.04	0.89	0.63
0.05	0.86	0.44
-0.11	0.45	0.24
0.10	-0.00	1.33
0.11	0.04	1.18
0.07	0.12	1.01
0.09	0.14	1.12
0.05	0.14	1.02
0.04	0.14	1.04
-0.40	0.14	0.87
-0.63	0.22	0.71
-0.72	0.32	0.19
-0.95	0.31	0.29
-0.89	0.34	0.10
-0.97	0.37	0.15
-0.90	0.37	0.23
-0.60	0.27	0.34
-0.46	0.08	1.17
-0.04	0.11	1.00
0.04	0.11	1.01
0.03	0.15	1.01
-0.11	0.18	0.93
-0.14	0.19	0.77
0.15	0.08	1.01
0.45	0.06	0.97
0.68	0.09	0.75
0.81	0.10	0.43
0.86	0.05	0.58
0.95	0.10	0.64
0.79	-0.03	0.99
-0.19	0.09	0.81
-0.23	0.23	0.82
-0.06	0.20	0.72
-0.15	0.16	0.93
-0.15	0.10	0.08
-0.01	0.06	1.71
-0.30	-0.91	6.75
-0.91	-2.51	1.22
-0.25	-2.75	-4.10
-0.48	-1.81	-3.89
-1.55	-0.78	5.00
-0.18	0.63	3.51
0.09	0.31	0.67
-0.06	0.11	0.54
0.03	0.13	0.74
0.10	0.19	1.10
0.08	0.20	1.07
-0.01	0.20	1.06
-0.03	0.16	1.11
-0.02	0.19	1.15
-0.05	0.35	0.73
-0.12	0.70	0.48
0.02	0.77	0.55
-0.01	0.75	0.54
-0.02	0.82	0.52
-0.05	0.85	0.23
-0.02	0.35	0.52
0.05	0.01	1.41
0.12	0.02	1.33
-0.01	0.15	0.91
0.07	0.18	1.02
0.02	0.17	1.00
0.04	0.12	1.12
-0.37	0.16	0.92
-0.58	0.29	0.32
-0.89	0.35	0.23
-0.97	0.33	0.20
-0.93	0.37	0.15
-1.02	0.41	0.19
-0.62	0.31	0.14
-0.38	0.11	1.09
-0.02	0.12	0.94
0.09	0.19	1.06
0.13	0.17	0.96
0.02	0.17	1.08
-0.12	0.18	0.77
0.19	0.07	0.91
0.67	0.01	0.97
0.71	0.05	0.64
0.80	0.10	0.60
0.81	0.11	0.56
0.98	0.04	0.81
0.64	0.07	0.73
-0.13	0.24	0.71
-0.18	0.31	0.90
-0.08	0.28	0.92
-0.02	0.25	1.09
-0.07	0.24	0.84
-0.04	0.20	0.61
-0.03	0.24	0.33
0.07	-0.06	4.39
-0.46	-1.66	5.50
-1.03	-3.68	-1.81
0.30	-2.96	-5.40
-1.78	-1.82	-0.62
-1.29	-0.40	6.49
-0.03	0.61	1.79
-0.08	0.21	0.49
0.02	0.01	0.67
0.02	0.11	0.77
0.06	0.14	1.18
0.06	0.18	1.11
-0.04	0.16	1.15
0.07	0.30	0.92
0.25	0.46	0.81
0.03	0.66	0.49
-0.06	0.78	0.60
-0.08	0.83	0.56
0.09	0.84	0.62
0.09	0.77	0.33
0.02	0.26	0.41
-0.03	0.01	1.41
0.12	0.06	1.25
0.10	0.12	0.97
0.14	0.14	1.06
0.07	0.14	1.03
0.18	0.13	1.20
-0.13	0.19	0.86
-0.49	0.31	0.54
-0.80	0.43	0.02
-0.90	0.40	0.02
-1.00	0.38	0.13
-1.03	0.46	0.06
-0.62	0.43	-0.01
-0.31	0.18	0.78
-0.16	0.12	1.34
-0.08	0.22	1.01
-0.16	0.26	0.81
-0.21	0.23	0.94
-0.17	0.18	0.73
0.22	0.05	1.04
0.62	0.04	1.03
0.75	0.04	0.80
0.75	0.14	0.70
0.68	0.21	0.54
0.67	0.12	0.81
0.41	0.19	0.86
-0.11	0.20	1.05
-0.23	0.30	0.74
-0.24	0.31	0.86
-0.21	0.28	0.98
-0.20	0.29	0.84
-0.11	0.17	-0.07
-0.13	-0.02	1.19
-0.68	-0.59	6.93
-1.11	-2.79	1.63
-0.26	-3.43	-4.58
-1.00	-2.10	-3.79
-1.83	-1.22	5.40
0.20	0.47	3.66
-0.10	0.37	0.57
-0.07	0.04	0.63
0.10	0.08	0.89
0.08	0.23	1.07
0.05	0.20	1.32
-0.20	0.30	0.62
-0.14	0.43	0.89
-0.04	0.63	0.69
0.11	0.72	0.61
0.03	0.83	0.62
-0.10	0.89	0.54
-0.03	0.73	0.17
0.14	0.16	1.01
0.19	0.04	1.20
0.01	0.11	1.08
0.02	0.20	0.94
0.09	0.17	0.99
0.09	0.14	1.13
0.02	0.11	1.18
-0.38	0.21	0.95
-0.77	0.42	0.10
-0.70	0.46	0.05
-0.82	0.44	0.02
-0.95	0.47	0.15
-0.71	0.39	0.22
-0.42	0.25	0.66
-0.09	0.11	1.31
0.14	0.15	1.05
0.03	0.18	0.98
-0.07	0.22	0.92
-0.13	0.21	0.76
0.22	0.04	0.94
0.59	0.00	1.09
0.79	0.05	0.69
0.82	0.09	0.52
0.83	0.13	0.56
0.86	0.12	0.78
0.36	0.10	0.74
0.05	0.22	0.82
-0.08	0.23	0.98
0.01	0.23	0.94
0.00	0.23	0.95
-0.05	0.20	0.54
-0.00	0.32	0.50
0.43	-0.67	6.28
-0.76	-1.96	2.85
-0.79	-3.09	-3.83
-0.39	-2.14	-4.99
-1.88	-1.64	4.18
-0.04	0.37	4.50
0.05	0.44	0.72
-0.15	0.06	0.69
0.00	0.06	0.95
0.02	0.22	1.01
-0.01	0.24	0.98
0.00	0.24	0.94
-0.00	0.23	0.97
-0.02	0.24	0.96
-0.03	0.24	0.97
-0.07	0.25	0.96
-0.06	0.26	0.96
-0.05	0.24	1.00
-0.08	0.25	0.95
