X	Y	Z
0.01	0.14	0.99
0.01	0.14	0.99
0.02	0.14	0.98
0.01	0.15	0.97
-0.01	0.16	1.00
-0.02	0.17	0.99
-0.01	0.16	0.99
0.01	0.15	0.96
-0.07	0.15	0.67
-0.04	0.11	0.47
0.06	-0.06	0.41
-0.15	-0.60	5.03
-0.81	-1.61	3.79
-0.46	-2.31	-1.71
0.03	-1.49	-3.73
-1.03	-0.72	0.34
-0.60	0.34	4.48
0.15	0.43	1.46
0.03	0.14	0.65
0.02	0.10	0.84
0.08	0.15	1.00
-0.07	0.19	1.08
-0.17	0.22	1.02
-0.44	0.18	0.97
-0.63	0.36	0.32
-0.89	0.40	0.33
-0.83	0.47	-0.03
-0.94	0.47	-0.03
-0.93	0.50	-0.18
-0.63	0.42	-0.07
-0.66	0.26	0.83
-0.34	0.24	0.74
0.02	0.13	1.05
0.21	0.10	1.14
0.26	0.08	0.91
0.26	0.06	1.00
0.23	0.07	0.97
0.19	0.08	1.09
0.12	0.12	0.98
-0.25	0.14	1.07
-0.65	0.31	0.30
-0.88	0.40	0.23
-0.90	0.45	-0.26
-0.89	0.43	-0.08
-0.90	0.45	-0.30
-0.91	0.50	-0.30
-0.40	0.30	-0.08
-0.65	0.16	1.30
-0.13	0.25	0.79
0.17	0.16	0.97
0.19	0.14	1.01
-0.00	0.24	0.42
-0.11	0.02	-0.12
0.67	-0.87	5.25
-0.73	-1.34	4.12
-0.78	-2.62	-2.07
0.06	-1.93	-4.71
-1.20	-1.11	1.20
-0.30	0.08	5.00
0.00	0.43	1.34
-0.10	0.11	0.81
0.06	0.04	0.82
0.07	0.08	0.98
-0.03	0.11	1.14
-0.28	0.14	1.00
-0.56	0.25	0.64
-0.77	0.38	0.36
-0.83	0.45	0.13
-0.85	0.50	-0.06
-0.85	0.51	-0.16
-0.90	0.48	-0.07
-0.80	0.44	0.03
-0.64	0.27	0.53
-0.27	0.15	1.14
-0.02	0.15	0.98
0.23	0.07	0.92
0.29	0.04	1.01
0.22	0.08	0.97
0.24	0.08	1.15
0.03	0.13	1.08
-0.42	0.27	0.41
-0.82	0.43	-0.23
-1.12	0.37	0.40
-0.96	0.41	0.01
-0.80	0.44	-0.23
-0.97	0.43	-0.18
-0.72	0.38	-0.07
-0.52	0.17	0.82
-0.23	0.18	0.96
-0.02	0.09	1.06
0.16	0.11	0.99
0.17	0.10	0.92
0.21	0.09	1.00
0.16	0.11	0.87
0.01	0.16	0.31
-0.19	-0.07	0.86
0.22	-1.43	6.94
-0.95	-2.63	0.96
-0.29	-2.40	-4.40
-1.06	-1.51	-3.37
-1.21	-1.21	4.86
0.48	0.15	3.47
-0.12	0.27	0.68
-0.07	0.02	0.75
-0.01	0.01	1.00
-0.11	0.06	1.15
-0.22	0.10	1.11
-0.67	0.28	0.48
-0.79	0.36	0.35
-0.84	0.44	0.14
-0.83	0.48	-0.06
-0.78	0.51	-0.16
-0.75	0.43	0.03
-0.67	0.26	0.74
-0.42	0.23	0.88
-0.20	0.14	0.96
0.08	0.07	1.00
0.24	0.05	1.01
0.27	0.02	1.03
0.18	0.03	0.99
0.08	0.05	1.20
-0.40	0.14	0.82
-0.72	0.31	0.36
-0.94	0.38	0.00
-0.79	0.42	-0.26
-0.87	0.44	-0.28
-0.79	0.43	-0.36
-0.92	0.47	-0.28
-0.57	0.33	0.12
-0.68	0.21	1.11
-0.21	0.21	0.81
0.17	0.24	0.91
0.20	0.21	0.83
0.09	0.18	0.60
-0.24	0.00	-0.72
0.65	-1.12	5.01
0.43	-1.94	5.52
-1.36	-2.99	-1.26
-0.82	-2.03	-5.26
-1.62	-1.77	-1.15
-0.17	-1.12	6.23
0.19	0.31	2.17
-0.10	0.10	0.92
-0.03	-0.01	0.67
0.09	0.00	0.78
0.02	0.06	0.97
-0.05	0.07	1.29
-0.20	0.09	1.11
-0.75	0.24	0.51
-0.71	0.34	0.31
-0.87	0.43	-0.18
-0.77	0.46	-0.28
-0.87	0.46	-0.30
-0.81	0.55	-0.41
-0.47	0.43	-0.31
-0.69	0.24	0.64
-0.30	0.08	1.11
0.31	0.09	1.11
0.22	0.06	0.75
0.24	0.04	1.04
0.25	0.06	0.97
0.19	0.06	1.16
-0.26	0.13	0.83
-0.55	0.19	0.94
-0.78	0.30	0.44
-0.82	0.40	-0.12
-0.86	0.45	-0.22
-0.84	0.42	-0.11
-0.94	0.46	-0.18
-0.56	0.37	0.03
-0.49	0.17	0.90
-0.25	0.13	1.16
0.09	0.11	1.07
0.17	0.10	1.01
0.09	0.12	0.71
0.03	0.13	0.24
-0.04	0.01	0.23
0.40	-1.33	6.59
-0.63	-2.89	3.63
-1.36	-3.36	-3.94
-0.12	-1.69	-4.64
-1.67	-1.80	1.98
0.03	-0.34	5.41
0.23	0.33	1.36
