X	Y	Z
-0.02	0.21	0.99
-0.00	0.21	0.98
-0.03	0.21	0.92
-0.10	0.22	0.70
-0.08	0.22	0.24
0.08	-0.30	1.09
0.63	-1.34	5.91
-1.20	-1.95	1.88
-0.47	-2.01	-3.47
-0.33	-1.22	-3.23
-0.95	-0.59	4.30
-0.25	0.43	3.35
-0.09	0.30	0.31
-0.04	0.07	0.61
0.03	0.17	0.96
-0.09	0.22	0.64
-0.03	-0.03	0.87
-0.09	-0.24	1.03
-0.05	-0.34	1.09
-0.10	-0.40	0.94
-0.09	-0.45	1.04
-0.14	-0.44	1.20
-0.16	-0.43	1.41
-0.07	-0.39	1.11
-0.07	-0.11	0.66
0.08	0.17	0.49
0.08	0.20	0.95
0.02	0.21	0.97
0.01	0.14	1.28
-0.02	0.11	1.24
-0.11	0.16	1.00
-0.12	0.62	0.11
-0.12	0.81	0.37
-0.25	0.92	0.29
-0.21	1.00	0.49
-0.16	0.99	0.40
-0.20	0.77	0.37
-0.06	0.45	0.49
-0.03	0.03	0.98
-0.09	-0.05	1.19
-0.04	0.00	1.11
-0.15	0.01	1.11
-0.07	-0.00	1.12
-0.10	0.04	1.01
-0.15	0.04	0.83
-0.16	-0.04	-0.02
0.05	-0.23	0.12
0.00	-1.62	6.57
-0.64	-2.41	2.56
-0.99	-2.23	-4.00
-0.60	-1.35	-4.19
-1.23	-1.27	4.61
0.04	0.32	2.97
-0.34	0.25	0.79
-0.09	-0.03	0.77
0.02	0.04	0.90
-0.07	0.07	1.07
-0.06	0.08	1.00
-0.09	0.10	0.92
-0.02	0.10	0.79
-0.02	-0.05	0.52
-0.01	-0.41	1.04
0.02	-0.49	1.22
-0.04	-0.51	1.04
-0.13	-0.55	0.94
-0.12	-0.53	1.17
-0.16	-0.48	1.37
-0.16	-0.42	0.98
-0.04	-0.16	0.72
-0.08	0.18	0.52
-0.11	0.23	0.84
-0.05	0.15	1.00
-0.01	0.07	1.36
-0.15	0.03	1.33
0.01	0.27	0.47
-0.05	0.79	0.26
-0.24	0.81	0.35
-0.25	0.85	0.49
-0.15	0.93	0.66
-0.13	0.93	0.49
-0.23	0.77	0.09
-0.11	0.40	0.52
0.01	-0.09	0.81
-0.07	-0.16	1.33
-0.02	-0.15	1.34
-0.03	-0.14	1.18
-0.02	-0.08	1.08
-0.11	0.01	0.62
-0.21	-0.02	-0.60
-0.05	-1.35	4.26
-0.30	-2.24	5.31
-1.07	-2.91	-1.54
-0.08	-1.75	-5.54
-1.62	-2.02	0.55
-0.35	-0.39	5.59
-0.27	0.48	1.03
-0.16	0.04	0.73
0.02	-0.05	0.90
-0.03	0.07	0.97
-0.03	0.11	0.94
-0.00	0.12	0.93
-0.10	0.06	0.68
-0.11	-0.20	0.72
