X	Y	Z
0.04	0.21	0.98
0.04	0.21	0.97
0.03	0.21	0.98
0.04	0.21	0.96
0.04	0.21	0.96
0.03	0.21	0.97
0.03	0.21	0.96
0.04	0.21	0.98
0.04	0.22	1.01
-0.01	0.25	0.88
-0.00	0.17	0.98
-0.08	0.18	0.49
0.10	0.19	0.14
-0.10	-0.21	4.08
-0.38	-1.28	5.01
-0.36	-2.61	-0.69
0.16	-1.96	-4.81
-0.99	-1.49	-1.48
-1.08	-0.67	5.37
-0.30	0.53	2.61
-0.19	0.33	0.67
-0.00	0.05	0.72
-0.06	0.13	0.72
-0.07	0.20	0.99
-0.00	0.20	0.92
0.19	0.11	0.90
0.44	0.02	1.09
0.56	0.09	0.78
0.71	0.09	0.62
0.76	0.10	0.62
0.76	0.10	0.75
0.71	0.09	0.97
0.49	0.07	0.83
-0.02	0.11	0.96
-0.18	0.17	0.82
-0.27	0.20	0.96
-0.28	0.20	0.92
-0.20	0.20	0.95
-0.20	0.19	0.88
-0.15	0.18	0.66
0.08	0.26	0.33
-0.35	-0.06	3.65
-0.22	-1.65	5.45
-0.77	-3.09	-0.48
-0.23	-2.29	-4.96
-1.27	-1.75	-2.30
-0.93	-1.18	5.48
0.14	0.33	3.25
-0.08	0.38	0.86
0.04	0.09	0.85
-0.01	0.12	0.71
-0.01	0.16	0.89
0.02	0.15	1.12
0.03	0.18	1.03
-0.03	0.20	0.93
0.03	0.12	0.79
0.54	0.02	1.03
0.63	0.03	0.84
0.70	0.10	0.72
0.73	0.09	0.58
0.80	0.06	0.62
0.80	0.07	0.78
0.62	0.12	0.74
0.41	0.10	0.99
-0.19	0.19	0.76
-0.24	0.22	0.98
-0.23	0.24	0.89
-0.16	0.22	1.01
-0.08	0.26	0.64
-0.03	0.40	0.06
-0.26	-0.43	3.98
-0.21	-1.95	5.01
-0.62	-2.99	-1.75
-0.06	-2.27	-4.99
-1.35	-1.80	-0.68
-0.65	-0.73	6.07
0.05	0.52	2.23
-0.07	0.34	0.69
0.08	0.05	0.64
0.07	0.12	0.77
0.01	0.19	0.96
0.10	0.21	0.99
0.18	0.18	0.87
0.43	0.06	1.07
0.66	0.06	0.83
0.72	0.14	0.71
0.69	0.18	0.58
0.77	0.13	0.66
0.77	0.12	0.75
0.64	0.16	0.70
0.33	0.09	0.95
-0.06	0.18	0.99
-0.24	0.26	0.82
-0.22	0.22	0.89
-0.12	0.21	0.97
-0.08	0.19	0.85
0.10	0.12	0.31
-0.00	0.15	0.16
-0.06	-0.83	5.91
-0.17	-2.50	4.25
-0.80	-3.44	-3.10
-0.75	-2.03	-4.79
-1.60	-1.41	1.83
0.29	-0.10	5.59
0.22	0.57	1.48
-0.06	0.30	0.56
0.07	0.11	0.54
0.12	0.16	0.93
0.10	0.19	1.04
0.12	0.23	1.02
0.11	0.23	0.95
0.16	0.18	1.04
0.30	0.17	0.82
0.47	0.13	0.83
0.68	0.08	0.80
0.68	0.09	0.79
0.73	0.09	0.57
0.78	0.08	0.60
0.78	0.07	0.64
0.81	0.08	0.66
0.83	0.11	0.74
0.54	0.13	0.72
0.26	0.11	1.05
-0.03	0.18	0.76
-0.21	0.23	0.86
-0.13	0.20	0.99
-0.09	0.17	1.06
-0.07	0.14	0.83
-0.13	0.11	0.34
0.14	0.19	0.89
-0.22	-0.58	5.82
-0.72	-2.50	3.68
-0.56	-3.20	-3.68
0.05	-1.92	-4.59
-1.70	-2.01	1.91
-0.49	-0.09	6.14
0.03	0.50	1.03
-0.19	0.25	0.52
0.06	0.10	0.56
0.14	0.14	0.90
0.09	0.22	1.09
0.09	0.28	0.95
-0.02	0.27	1.00
0.03	0.22	0.99
0.15	0.19	0.79
0.45	0.11	0.99
0.58	0.11	0.81
0.67	0.09	0.72
0.73	0.09	0.64
0.80	0.09	0.58
0.83	0.11	0.63
0.85	0.14	0.80
0.67	0.16	0.73
0.26	0.17	0.94
-0.16	0.24	0.77
-0.14	0.24	0.90
-0.14	0.23	0.93
-0.08	0.19	0.96
-0.11	0.19	0.95
-0.04	0.18	0.66
0.10	0.26	0.19
-0.04	-0.11	3.62
0.41	-1.60	5.31
-0.91	-2.95	-0.66
-0.30	-2.45	-4.77
-0.97	-1.37	-1.20
-0.52	-0.26	5.77
0.14	0.44	2.58
-0.07	0.28	0.70
-0.03	0.11	0.62
0.10	0.12	0.80
0.05	0.18	1.04
0.10	0.19	1.05
0.07	0.20	0.91
0.03	0.19	0.99
-0.03	0.21	0.96
0.00	0.25	0.99
0.01	0.25	0.97
-0.02	0.22	0.95
-0.01	0.21	0.98
-0.00	0.22	0.96
-0.01	0.22	0.96
-0.05	0.23	0.98
-0.01	0.22	0.99
-0.05	0.24	0.93
